Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15,Pos
Yuumi,8,63,95,8,0,100,13.8,3.6,31:58:00,0.2,424,269,-6.6,355,840,Sup
Sivir,7,2,12,7,0,100,15.1,7.5,31:47:00,10.2,748,499,9.9,1098,78,Ad
Yone,4,2,8,4,0,100,4.4,5,32:59:00,9,663,461,14.8,894,523,Top
Kindred,4,0,5,4,0,100,6.8,-,35:39:00,6.3,388,363,-7.8,-130,-108,Jg
Jayce,3,2,7,3,0,100,1.7,8.5,31:35:00,8,760,411,2,330,-50,Top
Braum,2,2,5,2,0,100,14.5,10,33:57:00,1,201,264,-0.5,578,624,Sup
Karthus,1,2,4,1,0,100,4,10,41:31:00,6.4,1316,455,-23,-145,-1114,Jg
Nocturne,1,1,3,1,0,100,3.3,1,30:54:00,5.5,374,373,5,-177,110,Jg
Rakan,1,1,3,1,0,100,5,8,33:37:00,1.1,178,247,-2,-373,-543,Sup
Ashe,5,4,12,4,1,80,4.8,7.8,34:43:00,7.2,477,396,5.2,344,426,Ad
Ahri,5,1,8,4,1,80,13.2,10,35:22:00,9.3,672,464,5.8,789,268,Mid
Ryze,4,5,12,3,1,75,3.4,5.4,32:09:00,8.8,509,443,0.8,83,-340,Mid
Jinx,4,2,8,3,1,75,12.7,9,27:38:00,9.9,504,453,-1.5,334,84,Ad
Camille,10,10,27,7,3,70,3.5,8.1,33:44:00,7.7,523,398,-4.4,-137,196,Top
Gragas,10,3,17,7,3,70,3.8,9.3,32:08:00,6.7,458,349,-8.4,-366,-120,Top
Sylas,29,28,76,20,9,69,3.8,3.9,30:07:00,8.6,499,420,-5.2,1,-53,Mid
Viego,26,17,57,18,8,69,4.5,6.4,30:54:00,5.5,312,363,2,245,72,Jg
Rell,6,2,11,4,2,67,3.1,8.5,28:48:00,1.2,122,241,6.7,9,113,Sup
Hecarim,3,2,7,2,1,67,9.5,8.5,33:46:00,6.5,374,377,15.7,1160,437,Jg
Orianna,3,0,4,2,1,67,8.8,-,33:29:00,9.5,608,463,4.3,556,-85,Mid
Kaisa,8,5,17,5,3,63,7.2,8.2,30:26:00,9.5,510,458,-13,-894,-347,Ad
Renata Glasc,18,18,48,11,7,61,4,7.1,31:28:00,0.7,169,245,-4.1,-129,-179,Sup
Ornn,15,15,40,9,6,60,3.4,6.4,32:36:00,7.1,422,343,-0.1,-55,158,Top
Lissandra,5,9,19,3,2,60,3.4,2.8,27:44:00,7.8,409,380,-6,-324,-197,Mid
Lucian,26,24,67,15,11,58,6.1,4.3,31:04:00,9.5,714,478,6.4,432,270,Ad
Nami,26,1,36,15,11,58,4.7,5,31:04:00,0.4,199,249,-5.1,-13,-10,Sup
Caitlyn,7,58,87,4,3,57,3.4,3.3,31:47:00,9.3,486,421,-3,-232,-280,Ad
Thresh,7,6,17,4,3,57,3.6,8.2,29:09:00,1.2,144,247,10.3,244,-19,Sup
Trundle,7,5,16,4,3,57,4.1,7,30:05:00,5.1,253,314,2.3,-334,21,Jg
Aatrox,18,57,100,10,8,56,2.7,4.1,30:58:00,8.3,483,387,11.3,210,235,Top
Aphelios,31,8,52,17,14,55,4.1,7.1,30:36:00,9.3,570,436,2,116,-20,Ad
Sejuani,29,38,89,16,13,55,3.7,4.4,31:15:00,5.8,370,337,-5.7,-12,-36,Jg
Lulu,15,1,21,8,7,53,3.8,10,32:00:00,0.5,145,235,1.1,94,114,Sup
Akali,23,20,57,12,11,52,3.4,6.4,30:50:00,8.4,509,396,1.9,61,74,Mid
Fiora,18,23,55,9,9,50,3,5.2,31:05:00,8.6,477,401,5.3,208,-44,Top
Vi,12,6,24,6,6,50,3,9,29:49:00,5,242,318,-3.7,-50,-23,Jg
Soraka,8,3,15,4,4,50,2.8,10,32:30:00,0.6,179,223,-10.9,11,-18,Sup
Heimerdinger,6,11,23,3,3,50,2.3,3.8,33:27:00,0.9,455,259,-2.2,369,-15,Sup
Draven,6,7,17,3,3,50,1.9,7.6,31:33:00,8.9,430,469,-1.2,-40,-330,Ad
Lux,6,0,8,3,3,50,2.9,-,32:04:00,1.1,275,245,-6.2,-61,-57,Sup
Gangplank,4,5,12,2,2,50,3.3,9.2,29:03:00,7.8,832,469,0,230,31,Top
Nidalee,2,4,8,1,1,50,5,7,27:53:00,7.4,678,406,11,-54,52,Jg
Alistar,2,2,5,1,1,50,5.5,8.5,29:50:00,0.9,160,246,6.5,-399,-454,Sup
Swain,2,1,4,1,1,50,4.3,5,25:45:00,8.2,493,366,0.5,31,75,Mid
Blitzcrank,2,0,3,1,1,50,3,-,26:05:00,1.2,153,247,11.5,418,72,Sup
Jhin,2,0,3,1,1,50,4.5,-,28:40:00,7.9,496,378,-14.5,-728,-6,Ad
Xayah,2,0,3,1,1,50,18,-,39:54:00,10.7,673,475,15.5,447,446,Ad
Graves,23,33,75,11,12,48,4.1,4.1,31:55:00,7.3,444,402,14.2,552,523,Jg
Azir,33,28,81,15,18,45,4.1,3.9,31:26:00,9.4,638,421,8.1,193,275,Mid
Jax,11,5,21,5,6,45,2.1,5.2,31:03:00,7.9,330,369,-13.7,-233,-290,Top
Kalista,16,13,39,7,9,44,2.9,6.4,33:11:00,9.2,427,428,-1.7,-364,41,Ad
Gnar,9,5,19,4,5,44,1.5,8.8,29:59:00,8.3,422,374,3.6,165,-24,Top
Lee Sin,14,6,27,6,8,43,2.5,8.7,31:51:00,5.1,251,307,-8.3,-450,-225,Jg
Taliyah,7,7,19,3,4,43,2.6,7.4,31:31:00,8.2,440,366,-9.4,-357,-429,Mid
Sett,5,1,8,2,3,40,1.9,1,30:51:00,4.6,315,294,0.4,-419,-472,Sup
LeBlanc,8,14,29,3,5,38,7.8,6.4,30:15:00,8,661,402,0.6,220,198,Mid
Varus,14,8,29,5,9,36,3.4,6.8,31:47:00,8.9,535,415,0,40,-79,Ad
Viktor,17,15,43,6,11,35,2.2,6.3,32:58:00,8.6,654,389,0,-171,-5,Mid
Amumu,6,5,15,2,4,33,2.1,8,31:18:00,1.2,170,233,7,-174,113,Sup
Tahm Kench,6,2,11,2,4,33,2.1,8.5,29:57:00,1.2,161,222,10.3,-147,-9,Sup
Kennen,3,2,7,1,2,33,1.5,8,31:12:00,7.5,498,350,12.3,527,132,Top
Renekton,16,23,52,5,11,31,1.9,8.3,33:28:00,8.1,436,390,11.7,290,280,Top
Poppy,13,9,29,4,9,31,3,7.4,30:21:00,4.8,258,295,-6.8,-463,-426,Jg
Maokai,20,35,73,6,14,30,2,3.9,29:38:00,6.1,448,309,-14.8,-732,-549,Jg
Jarvan IV,8,8,21,2,6,25,1.9,8.1,32:40:00,4.6,241,286,-13.9,-631,-387,Jg
Miss Fortune,8,1,12,2,6,25,2.7,7,32:44:00,9.6,537,406,0.4,-228,28,Ad
Galio,4,4,11,1,3,25,1.8,6.5,33:09:00,7.2,461,346,-16.2,-573,-674,Mid
Leona,9,3,16,2,7,22,1.6,8.3,29:02:00,1.2,97,222,5.7,-111,153,Sup
Karma,5,3,11,1,4,20,1.6,9.7,31:25:00,0.6,274,225,-0.4,-71,-197,Sup
Ezreal,5,2,9,1,4,20,1.8,9.5,32:56:00,9.8,681,426,-5.6,-161,-149,Ad
Belveth,6,5,15,1,5,17,1.6,7.6,27:53:00,6.1,251,334,11.3,61,109,Jg
Tristana,6,4,13,1,5,17,1.5,7.5,26:22:00,9.2,361,399,-7.7,-442,-283,Ad
Nautilus,7,11,24,1,6,14,1.3,8.8,34:53:00,1,110,204,4.9,-82,-335,Sup
Syndra,5,2,9,0,5,0,1.8,7.5,33:20:00,6.9,485,342,-5.8,-669,-323,Mid
Seraphine,4,2,8,0,4,0,2.2,5,32:58:00,8.3,311,339,-19.2,-1368,-288,Mid
Senna,3,3,8,0,3,0,1.4,4.3,31:37:00,1.6,232,254,9,123,-533,Ad
Pyke,1,5,8,0,1,0,0.8,8.8,39:20:00,1.2,213,256,12,-434,-507,Sup
Kayn,2,2,5,0,2,0,2.7,7,35:22:00,6.3,459,353,24.5,761,767,Jg
Darius,1,1,3,0,1,0,4.5,10,34:40:00,6.6,432,373,-23,314,-566,Top
Fiddlesticks,1,1,3,0,1,0,1,2,25:04:00,5.1,340,295,-12,416,98,Jg
Singed,1,1,3,0,1,0,1.3,3,30:08:00,5,173,258,-54,-2140,-415,Sup
Mordekaiser,0,2,3,,,,,10,0:00,,,,,,,Top
Nilah,0,2,3,,,,,9.5,0:00,,,,,,,Ad
Shen,1,0,1,1,0,100,-,-,32:30:00,7.6,383,381,-5,362,494,Top
Gwen,1,0,1,1,0,100,1.3,-,29:39:00,8.9,626,403,18,203,-108,Top
Anivia,1,0,1,0,1,0,1.3,-,31:30:00,8.7,434,360,2,509,191,Mid
Irelia,1,0,1,0,1,0,0.4,-,34:03:00,7.3,466,339,-13,-512,-1335,Top
Malphite,1,0,1,0,1,0,1,-,33:59:00,6.9,426,319,-3,16,-320,Top
Nasus,1,0,1,0,1,0,0.8,-,30:15:00,0.5,203,190,-2,-1443,-1264,Top
Rumble,1,0,1,0,1,0,0.5,-,30:15:00,7.7,385,347,-16,-594,-549,Top
Wukong,1,0,1,0,1,0,1.4,-,42:20:00,3.8,281,270,-7,369,-554,Jg
Xin Zhao,1,0,1,0,1,0,1.3,-,28:31:00,6.3,266,317,28,208,944,Jg
Bard,1,0,1,0,1,0,5,-,29:28:00,1,136,191,9,-1167,6,Sup
Olaf,0,1,1,,,,,4,0:00,,,,,,,
Annie,0,0,0,,,,,-,0:00,,,,,,,
Brand,0,0,0,,,,,-,0:00,,,,,,,
Cassiopeia,0,0,0,,,,,-,0:00,,,,,,,
Chogath,0,0,0,,,,,-,0:00,,,,,,,
Corki,0,0,0,,,,,-,0:00,,,,,,,
Diana,0,0,0,,,,,-,0:00,,,,,,,
Dr. Mundo,0,0,0,,,,,-,0:00,,,,,,,
Elise,0,0,0,,,,,-,0:00,,,,,,,
Evelynn,0,0,0,,,,,-,0:00,,,,,,,
Fizz,0,0,0,,,,,-,0:00,,,,,,,
Garen,0,0,0,,,,,-,0:00,,,,,,,
Janna,0,0,0,,,,,-,0:00,,,,,,,
Kassadin,0,0,0,,,,,-,0:00,,,,,,,
Katarina,0,0,0,,,,,-,0:00,,,,,,,
Kayle,0,0,0,,,,,-,0:00,,,,,,,
KhaZix,0,0,0,,,,,-,0:00,,,,,,,
KogMaw,0,0,0,,,,,-,0:00,,,,,,,
Malzahar,0,0,0,,,,,-,0:00,,,,,,,
Master Yi,0,0,0,,,,,-,0:00,,,,,,,
Morgana,0,0,0,,,,,-,0:00,,,,,,,
Nunu,0,0,0,,,,,-,0:00,,,,,,,
Pantheon,0,0,0,,,,,-,0:00,,,,,,,
Quinn,0,0,0,,,,,-,0:00,,,,,,,
Rammus,0,0,0,,,,,-,0:00,,,,,,,
Rengar,0,0,0,,,,,-,0:00,,,,,,,
Riven,0,0,0,,,,,-,0:00,,,,,,,
Shaco,0,0,0,,,,,-,0:00,,,,,,,
Shyvana,0,0,0,,,,,-,0:00,,,,,,,
Sion,0,0,0,,,,,-,0:00,,,,,,,
Skarner,0,0,0,,,,,-,0:00,,,,,,,
Sona,0,0,0,,,,,-,0:00,,,,,,,
Talon,0,0,0,,,,,-,0:00,,,,,,,
Taric,0,0,0,,,,,-,0:00,,,,,,,
Teemo,0,0,0,,,,,-,0:00,,,,,,,
Tryndamere,0,0,0,,,,,-,0:00,,,,,,,
Twisted Fate,0,0,0,,,,,-,0:00,,,,,,,
Twitch,0,0,0,,,,,-,0:00,,,,,,,
Udyr,0,0,0,,,,,-,0:00,,,,,,,
Urgot,0,0,0,,,,,-,0:00,,,,,,,
Vayne,0,0,0,,,,,-,0:00,,,,,,,
Veigar,0,0,0,,,,,-,0:00,,,,,,,
Vladimir,0,0,0,,,,,-,0:00,,,,,,,
Volibear,0,0,0,,,,,-,0:00,,,,,,,
Warwick,0,0,0,,,,,-,0:00,,,,,,,
Xerath,0,0,0,,,,,-,0:00,,,,,,,
Yasuo,0,0,0,,,,,-,0:00,,,,,,,
Yorick,0,0,0,,,,,-,0:00,,,,,,,
Zac,0,0,0,,,,,-,0:00,,,,,,,
Zed,0,0,0,,,,,-,0:00,,,,,,,
Ziggs,0,0,0,,,,,-,0:00,,,,,,,
Zilean,0,0,0,,,,,-,0:00,,,,,,,
Zyra,0,0,0,,,,,-,0:00,,,,,,,
RekSai,0,0,0,,,,,-,0:00,,,,,,,
VelKoz,0,0,0,,,,,-,0:00,,,,,,,
Ekko,0,0,0,,,,,-,0:00,,,,,,,
Illaoi,0,0,0,,,,,-,0:00,,,,,,,
Aurelion Sol,0,0,0,,,,,-,0:00,,,,,,,
Kled,0,0,0,,,,,-,0:00,,,,,,,
Ivern,0,0,0,,,,,-,0:00,,,,,,,
Zoe,0,0,0,,,,,-,0:00,,,,,,,
Neeko,0,0,0,,,,,-,0:00,,,,,,,
Qiyana,0,0,0,,,,,-,0:00,,,,,,,
Lillia,0,0,0,,,,,-,0:00,,,,,,,
Samira,0,0,0,,,,,-,0:00,,,,,,,
Akshan,0,0,0,,,,,-,0:00,,,,,,,
Vex,0,0,0,,,,,-,0:00,,,,,,,
Zeri,0,0,0,,,,,-,0%,,,,,,,